id,date_releve,humidity,dewpoint,pressure,windspeed,visibility,cloudcover,windgust,uvindex,precipintensity,precipintensitymax,temperaturehigh,temperaturelow,temperaturehighoffset2,temperaturelowoffset2,temperature,temperatureoffset2
38,2017-06-17,0.66,12.06,1026.45,1.48,10.00,0.39,4.25,7.08,0.00,0.00,25.18,15.34,27.18,17.34,20.26,22.26
321,2017-06-18,0.62,14.08,1022.32,2.39,10.00,0.31,5.82,8.07,0.00,0.01,28.57,14.32,30.57,16.32,21.45,23.45
452,2017-06-19,0.55,13.59,1018.13,1.32,9.99,0.15,3.99,8.37,0.00,0.10,32.57,16.93,34.57,18.93,24.75,26.75
1006,2017-06-20,0.55,15.59,1015.51,1.28,10.00,0.30,4.58,7.04,0.00,0.00,34.13,18.63,36.13,20.63,26.38,28.38
113,2017-06-21,0.56,16.96,1014.19,1.28,10.00,0.29,3.63,7.63,0.00,0.00,34.88,19.24,36.88,21.24,27.06,29.06
586,2017-06-22,0.59,17.56,1013.35,2.11,9.96,0.65,6.28,5.96,0.00,0.03,34.45,18.28,36.45,20.28,26.37,28.37
415,2017-06-23,0.61,14.26,1017.70,2.73,10.00,0.62,7.04,6.23,0.00,0.00,26.95,14.86,28.95,16.86,20.91,22.91
437,2017-06-24,0.61,12.60,1018.22,2.18,10.00,0.66,6.68,5.79,0.00,0.00,26.48,16.76,28.48,18.76,21.62,23.62
762,2017-06-25,0.61,13.37,1015.55,2.53,10.00,0.74,6.66,6.54,0.00,0.00,25.93,14.54,27.93,16.54,20.24,22.24
1120,2017-06-26,0.64,14.38,1013.58,1.51,10.00,0.49,4.66,7.84,0.01,0.12,29.32,17.78,31.32,19.78,23.55,25.55
813,2017-06-27,0.76,16.95,1006.40,1.32,9.90,0.84,4.07,5.93,0.14,1.59,26.14,16.58,28.14,18.58,21.36,23.36
410,2017-06-28,0.78,15.14,999.32,2.59,9.87,0.78,6.91,6.00,0.28,1.86,23.81,14.43,25.81,16.43,19.12,21.12
642,2017-06-29,0.76,12.55,999.62,2.80,10.00,0.78,7.17,5.82,0.13,1.36,21.22,13.20,23.22,15.20,17.21,19.21
