id;temp;type
983;75.41;mf
676;76.08;mf
582;73.35;mf
595;69.75;mf
64;70.28;mf
24;66.94;mf
398;64.51;mf
1159;63.05;mf
1092;68.16;mf
639;69.85;mf
884;75.39;mf
1122;70.37;mf
1103;71.36;mf
964;63.72;mf
1093;72.22;mf
308;79.61;mf
950;82.45;mf
450;76.12;mf
371;69.71;mf
422;72.57;mf
263;79.12;mf
1100;71.63;mf
912;66.56;mf
272;65.24;mf
428;68.96;mf
136;74.33;mf
1101;74.84;mf
379;69.43;mf
706;68.51;mf
741;70.13;mf
122;66.54;mf
480;62.08;mf
544;60.43;mf
1094;62.19;mf
229;62.61;mf
215;68.53;mf
646;69.46;mf
525;61.81;mf
102;60.54;mf
554;56.25;mf
752;57.35;mf
461;63.09;mf
368;68.4;mf
605;63.56;mf
142;58.86;mf
33;54.51;mf
217;60.5;mf
1033;63.29;mf
836;62.97;mf
531;61.02;mf
1089;59.71;mf
264;58.13;mf
1062;57.79;mf
1084;63.26;mf
806;64.8;mf
679;69.34;mf
216;67.06;mf
522;60.75;mf
270;54.4;mf
323;55.62;mf
597;53.65;mf
1075;69.52;mf
687;81.38;mf
507;69.7;mf
588;61.5;mf
1130;67.25;mf
172;64.09;mf
412;64.41;mf
937;63.17;mf
134;62.02;mf
505;60.63;mf
335;66.97;mf
771;71.69;mf
176;74.75;mf
35;68.56;mf
602;70.17;mf
660;67.03;mf
81;75.19;mf
468;74.5;mf
1020;67.53;mf
362;65.65;mf
892;69.05;mf
896;67.6;mf
841;75.11;mf
291;75.5;mf
731;73.83;mf
868;72.79;mf
1050;65.51;mf
585;62.57;mf
46;59.41;mf
53;59.34;mf
237;64;mf
222;63;mf
894;67.91;mf
825;71.97;mf
574;68.9;mf
70;64.06;mf
823;65.84;mf
756;67.79;mf
201;62.34;mf
281;60.44;mf
996;62.59;mf
130;64.32;mf
590;62.36;mf
79;65;mf
1191;66.06;mf
1031;66.33;mf
234;68.9;mf
792;67.1;mf
44;67.76;mf
529;69.33;mf
941;67.99;mf
948;65.15;mf
1026;65.6;mf
577;67.2;mf
61;62.76;mf
805;59.16;mf
18;55.52;mf
1167;64.21;mf
661;80.1;mf
885;78.89;mf
809;79.16;mf
255;80.76;mf
879;79.4;mf
767;78.26;mf
549;74.29;mf
1112;75.63;mf
1117;76.92;mf
656;81.34;mf
317;76.19;mf
283;71.53;mf
432;78.3;mf
301;79.24;mf
1043;79.58;mf
504;76.34;mf
421;77.41;mf
760;80.84;mf
717;75.73;mf
1115;75.82;mf
938;80.22;mf
358;75.97;mf
633;79.32;mf
1189;81.54;mf
808;79.22;mf
962;82.41;mf
63;81.99;mf
550;85.5;mf
8;86.78;mf
239;87.21;mf
334;88.54;mf
527;86.11;mf
700;85.13;mf
947;82.93;mf
126;79.32;mf
212;81.93;mf
15;86.17;mf
632;86.3;mf
440;89.59;mf
364;89.46;mf
1046;91.64;mf
327;86.71;mf
735;84.91;mf
1083;82.44;mf
453;84.47;mf
980;84.33;mf
146;82.7;mf
1012;85.03;mf
193;82.96;mf
359;82.67;mf
773;82.55;mf
141;79.68;mf
427;79.59;mf
1024;85.54;mf
1113;89.3;mf
952;86.34;mf
540;86.3;mf
1170;84.44;mf
946;83.29;mf
899;85.18;mf
322;87.04;mf
982;82.68;mf
1022;87.24;mf
972;88.83;mf
1137;88.7;mf
860;86.21;mf
736;83.12;mf
373;82.86;mf
608;84.05;mf
918;86.03;mf
372;87.94;mf
988;82.96;mf
188;84.49;mf
856;84.27;mf
