id;temp;type
1191;15.13;mf
1031;14.17;mf
234;15.4;mf
792;17.01;mf
44;18.98;mf
529;19.8;mf
941;20.4;mf
948;20.7;mf
1026;20.61;mf
577;20.08;mf
61;18.05;mf
805;17.3;mf
18;18.07;mf
1167;19.54;mf
661;17.99;mf
885;16.61;mf
809;16.87;mf
255;16.77;mf
879;18.06;mf
767;17.34;mf
549;17.02;mf
1112;17.4;mf
1117;17.48;mf
656;17.34;mf
317;15.06;mf
283;12.75;mf
432;14.38;mf
301;15.37;mf
1043;15.1;mf
504;13.92;mf
421;15.37;mf
760;14.12;mf
717;14.42;mf
1115;15.53;mf
938;16.89;mf
358;18.45;mf
633;17.44;mf
1189;14.13;mf
808;13.93;mf
962;14.62;mf
63;14.61;mf
550;14.71;mf
8;14.33;mf
239;12.77;mf
334;12.26;mf
527;14.34;mf
700;14.06;mf
947;14.24;mf
126;14.92;mf
212;13.61;mf
15;12.39;mf
632;12.48;mf
440;12.54;mf
364;12.86;mf
1046;13.79;mf
327;13.86;mf
735;12.25;mf
1083;12.16;mf
453;10.42;mf
980;10.19;mf
146;8.62;mf
1012;7.22;mf
193;7.21;mf
359;6.96;mf
773;7.32;mf
141;7.45;mf
427;6.78;mf
1024;5.54;mf
1113;4.79;mf
952;5.38;mf
540;5.4;mf
1170;5.66;mf
946;5.58;mf
899;4.8;mf
322;6.48;mf
982;8.75;mf
1022;9.94;mf
972;8.64;mf
1137;9.76;mf
860;11.01;mf
736;11.45;mf
373;10.87;mf
608;9.82;mf
918;7.15;mf
372;6.87;mf
988;5.59;mf
188;3.92;mf
856;3.49;mf
268;4.23;mf
74;6.48;mf
256;9.09;mf
55;9.91;mf
309;8.81;mf
682;6.15;mf
712;6.01;mf
338;6.57;mf
960;9;mf
699;10.67;mf
106;10.2;mf
675;10.47;mf
87;11.64;mf
455;10.54;mf
200;12.14;mf
1158;10.6;mf
512;9.41;mf
1052;9.69;mf
566;9.22;mf
171;10.7;mf
90;8.74;mf
403;7.72;mf
332;9.11;mf
29;7.09;mf
13;3.76;mf
1065;3.67;mf
231;3.86;mf
940;4.87;mf
509;6.17;mf
54;8.1;mf
915;7.09;mf
846;5.48;mf
148;4.78;mf
1164;7.56;mf
174;9.39;mf
285;9.83;mf
393;8.12;mf
447;6.04;mf
491;5.7;mf
1061;6.6;mf
864;9.08;mf
72;9.32;mf
739;8.85;mf
375;8.28;mf
280;5.56;mf
690;4.36;mf
228;4.19;mf
198;4.19;mf
319;4.74;mf
1146;5.23;mf
470;5.14;mf
344;6.02;mf
1134;7.18;mf
1171;7.63;mf
501;7.94;mf
853;7.98;mf
624;9.01;mf
635;11.59;mf
702;11.29;mf
1121;12.48;mf
299;12.72;mf
361;8.68;mf
831;6.75;mf
474;5.04;mf
555;6.19;mf
949;8.01;mf
1004;9.87;mf
204;11.63;mf
425;9.21;mf
40;7.14;mf
686;8.11;mf
685;9.49;mf
1025;9.41;mf
883;11.88;mf
869;9.36;mf
1114;7.68;mf
297;8.07;mf
485;8.54;mf
1049;7.55;mf
789;8.46;mf
638;10.5;mf
31;10.66;mf
852;8.86;mf
298;6.45;mf
862;7;mf
732;7.77;mf
58;9.58;mf
867;8.55;mf
207;7.53;mf
443;6.02;mf
429;7.19;mf
1086;9.15;mf
747;7.01;mf
363;7.64;mf
242;8.87;mf
23;8.27;mf
1047;10.21;mf
1002;12.39;mf
139;10.9;mf
241;8.98;mf
798;8.63;mf
420;9.96;mf
849;10.03;mf
627;10.82;mf
893;11.42;mf
859;12.3;mf
769;11.97;mf
213;9.82;mf
69;9.21;mf
397;9.14;mf
254;8.07;mf
596;6.84;mf
598;6.22;mf
1143;7.74;mf
839;9.82;mf
98;7.61;mf
232;5.38;mf
1082;7.14;mf
315;7.97;mf
651;7.91;mf
434;9.08;mf
417;10.63;mf
186;13.05;mf
250;3.29;dsk
599;2.89;dsk
607;1.85;dsk
1106;3.675;dsk
898;1.765;dsk
524;-0.1;dsk
295;2.655;dsk
164;4.975;dsk
32;5.66;dsk
93;5.735;dsk
644;7.55;dsk
1040;6.725;dsk
249;3.925;dsk
413;3.955;dsk
1021;4;dsk
446;1.945;dsk
350;-0.235;dsk
587;-0.82;dsk
311;-0.565;dsk
1168;0.85;dsk
592;2.41;dsk
184;2.73;dsk
811;2.095;dsk
378;1.98;dsk
118;-0.54;dsk
219;3.315;dsk
492;7.465;dsk
223;6.61;dsk
67;8.16;dsk
314;9.21;dsk
150;9.72;dsk
713;10.18;dsk
626;9.54;dsk
278;8.41;dsk
807;8.23;dsk
667;6.915;dsk
433;7.15;dsk
1036;7.555;dsk
355;5.28;dsk
392;4.145;dsk
287;4.565;dsk
17;4.81;dsk
253;8.735;dsk
337;9.99;dsk
1124;9.87;dsk
954;9.98;dsk
227;9.315;dsk
62;8.145;dsk
66;7.32;dsk
28;9.045;dsk
1090;9.79;dsk
1081;10.59;dsk
369;9.74;dsk
386;10.045;dsk
763;5.85;dsk
1097;7.865;dsk
483;9.88;dsk
936;9.6;dsk
170;7.675;dsk
497;9.15;dsk
830;9.47;dsk
1005;11.115;dsk
445;7.785;dsk
145;9.065;dsk
621;9.22;dsk
116;8.125;dsk
630;11.18;dsk
206;11.01;dsk
384;11.195;dsk
759;13.145;dsk
965;10.725;dsk
166;9.945;dsk
330;11.035;dsk
573;10.41;dsk
366;12.85;dsk
288;11.875;dsk
120;11.18;dsk
909;12.32;dsk
1057;11.435;dsk
876;8.775;dsk
623;8.945;dsk
526;9.045;dsk
94;10.38;dsk
788;10.39;dsk
196;11.26;dsk
658;12.285;dsk
1076;12.565;dsk
543;14.02;dsk
1077;16.22;dsk
57;13.215;dsk
689;10.805;dsk
7;10.705;dsk
815;13.2;dsk
990;12.73;dsk
901;11.105;dsk
914;9.79;dsk
944;12.475;dsk
1067;14.69;dsk
677;15.79;dsk
840;13.625;dsk
751;11.335;dsk
1042;12.925;dsk
709;13.385;dsk
863;13.455;dsk
622;11.87;dsk
1070;11.29;dsk
1008;10.94;dsk
1009;8.88;dsk
641;7.245;dsk
499;7.91;dsk
847;11.27;dsk
678;12.055;dsk
782;11.35;dsk
1011;13.695;dsk
1102;9.195;dsk
224;7.065;dsk
683;7.61;dsk
382;8.16;dsk
444;12.12;dsk
230;11.755;dsk
761;10.755;dsk
195;11.54;dsk
138;11.455;dsk
347;12.525;dsk
1029;14.99;dsk
402;13.24;dsk
252;12.475;dsk
1178;11.755;dsk
993;12.66;dsk
352;15.725;dsk
704;15.255;dsk
1157;15.63;dsk
610;15.28;dsk
506;15.595;dsk
192;18.61;dsk
951;20.325;dsk
128;19.92;dsk
959;14.195;dsk
738;12.365;dsk
714;12.865;dsk
743;16.985;dsk
907;18.61;dsk
1063;18.025;dsk
888;19.36;dsk
20;20.9;dsk
881;21.525;dsk
1154;21.785;dsk
1028;22.285;dsk
987;20.54;dsk
419;18.495;dsk
645;18.89;dsk
835;20.315;dsk
194;20.83;dsk
873;16.82;dsk
591;16.415;dsk
579;17.36;dsk
779;15.08;dsk
1017;15.585;dsk
389;20.275;dsk
1079;18.53;dsk
191;21.085;dsk
467;21.94;dsk
1165;19.65;dsk
14;21.6;dsk
80;22.865;dsk
11;21.69;dsk
673;20.185;dsk
38;22.055;dsk
321;23.76;dsk
452;25.02;dsk
1006;25.375;dsk
113;25.66;dsk
586;24.44;dsk
415;21.48;dsk
437;21.305;dsk
762;21.37;dsk
1120;21.98;dsk
813;21.15;dsk
410;18.605;dsk
642;16.925;dsk
838;16.54;dsk
1177;16.575;dsk
536;18.225;dsk
854;19.135;dsk
665;22.045;dsk
471;23.925;dsk
3;24.23;dsk
878;24.755;dsk
603;23.74;dsk
742;21.955;dsk
707;20.205;dsk
1155;20.785;dsk
778;20.135;dsk
313;20.425;dsk
578;19.52;dsk
939;20.85;dsk
559;22.645;dsk
388;23.88;dsk
655;25.895;dsk
781;22.94;dsk
519;19.435;dsk
277;20.225;dsk
1128;20.06;dsk
604;19.64;dsk
88;18.975;dsk
190;18.66;dsk
495;19.85;dsk
83;20.34;dsk
943;20.965;dsk
243;23.035;dsk
481;21.07;dsk
1181;21.87;dsk
473;22.065;dsk
500;24.24;dsk
282;23.36;dsk
89;22.785;dsk
108;20.14;dsk
803;19.36;dsk
691;21.905;dsk
129;17.475;dsk
6;17.38;dsk
